Time;Position;Rotation.X;Rotation.Y;FPS;Input;Position.x;Position.y;Position.z;distance;cumulative_distance;angle_diff
66209.7624;(1.0000, 4.0000, 5.4000);78.7856;66.8393;29.6037;;1;4;5.4;0;0;2.4708
66209.7916;(1.0000, 4.0000, 5.4000);84.6407;64.9399;29.9067;;1;4;5.4;0;0;5.85509999999999
66209.8232;(1.0000, 4.0000, 5.4000);89.6356;63.3316;30.2782;;1;4;5.4;0;0;4.9949
66209.8538;(1.0000, 4.0000, 5.4000);92.1514;62.5913;30.4367;;1;4;5.4;0;0;2.51580000000001
66209.888;(1.0000, 4.0000, 5.4000);93.2354;62.2994;30.6185;;1;4;5.4;0;0;1.084
66209.9191;(1.0000, 4.0000, 5.4000);93.7628;62.1706;30.5036;;1;4;5.4;0;0;0.5274
66209.9524;(1.0000, 4.0000, 5.4000);93.9508;62.1286;30.6726;;1;4;5.4;0;0;0.187999999999988
66209.9818;(1.0000, 4.0000, 5.4000);94.0406;62.1103;30.5936;;1;4;5.4;0;0;0.0897999999999968
66210.0114;(1.0000, 4.0000, 5.4000);94.0721;62.1045;30.9036;;1;4;5.4;0;0;0.0314999999999941
66210.0388;(1.0000, 4.0000, 5.4000);94.0869;62.1019;31.1796;;1;4;5.4;0;0;0.0147999999999797
66210.0679;(1.0000, 4.0000, 5.4000);94.0933;62.1009;31.6512;;1;4;5.4;0;0;0.00639999999998508
66210.0964;(1.0000, 4.0000, 5.4000);94.0969;62.1004;31.8916;;1;4;5.4;0;0;0.00360000000000582
66210.126;(1.0000, 4.0000, 5.4000);94.0985;62.1002;32.1699;;1;4;5.4;0;0;0.00159999999999627
66210.1532;(1.0000, 4.0000, 5.4000);95.1701;61.5849;32.3093;;1;4;5.4;0;0;1.07159999999999
66210.1819;(1.0000, 4.0000, 5.4000);98.8255;59.8576;32.6914;;1;4;5.4;0;0;3.65539999999999
66210.2106;(1.0000, 4.0000, 5.4000);107.3516;56.6057;32.9448;;1;4;5.4;0;0;8.52609999999999
66210.2397;(1.0000, 4.0000, 5.4000);116.3941;53.04;33.1334;;1;4;5.4;0;0;9.04249999999999
66210.2715;(1.0000, 4.0000, 5.4000);126.7573;50.5485;33.2401;;1;4;5.4;0;0;10.3632
66210.3054;(1.0000, 4.0000, 5.4000);133.6825;49.1679;33.0929;;1;4;5.4;0;0;6.92520000000002
66210.341;(1.0000, 4.0000, 5.4000);136.9785;48.5474;32.6375;;1;4;5.4;0;0;3.29599999999999
66210.3763;(1.0000, 4.0000, 5.4000);138.2604;48.3199;32.1559;;1;4;5.4;0;0;1.28190000000001
66210.4102;(1.0000, 4.0000, 5.4000);138.7328;48.2408;31.7083;;1;4;5.4;0;0;0.472399999999993
66210.4448;(1.0000, 4.0000, 5.4000);138.8975;48.2148;31.4378;;1;4;5.4;0;0;0.164700000000011
66210.4783;(1.0000, 4.0000, 5.4000);139.3352;48.1408;31.1631;;1;4;5.4;0;0;0.437699999999978
66210.5099;(1.0000, 4.0000, 5.4000);144.4134;45.9512;31.0434;;1;4;5.4;0;0;5.07820000000001
66210.5428;(1.0000, 4.0000, 5.4000);154.1547;41.5662;31.114;;1;4;5.4;0;0;9.7413
66210.5727;(1.0000, 4.0000, 5.4000);163.2406;35.0975;31.0419;;1;4;5.4;0;0;9.08590000000001
66210.6093;(1.0000, 4.0000, 5.4000);168.7813;31.157;31.2566;;1;4;5.4;0;0;5.54069999999999
66210.6439;(1.0000, 4.0000, 5.4000);172.6299;28.6895;30.8582;;1;4;5.4;0;0;3.8486
66210.6775;(1.0000, 4.0000, 5.4000);173.9335;27.8688;30.6146;;1;4;5.4;0;0;1.30360000000002
66210.7121;(1.0000, 4.0000, 5.4000);174.7585;27.3995;30.5326;;1;4;5.4;0;0;0.824999999999989
66210.7467;(1.0000, 4.0000, 5.4000);178.0631;25.9369;30.3222;;1;4;5.4;0;0;3.30459999999999
66210.7808;(1.0000, 4.0000, 5.4000);182.7557;24.2824;30.1751;;1;4;5.4;0;0;4.6926
66210.8136;(1.0000, 4.0000, 5.4000);188.7286;23.0707;30.1237;;1;4;5.4;0;0;5.97290000000001
66210.8482;(1.0000, 4.0000, 5.4000);193.6445;22.4296;30.1401;;1;4;5.4;0;0;4.91589999999999
66210.8838;(1.0000, 4.0000, 5.4000);197.4796;22.1601;30.0105;;1;4;5.4;0;0;3.83510000000001
66210.9191;(1.0000, 4.0000, 5.4000);198.9599;22.0573;29.8209;;1;4;5.4;0;0;1.4803
66210.9558;(1.0000, 4.0000, 5.4000);199.4967;22.0204;29.647;;1;4;5.4;0;0;0.536799999999999
66210.9917;(1.0000, 4.0000, 5.4000);199.6959;22.0069;29.4062;;1;4;5.4;0;0;0.19919999999999
66211.0261;(1.0000, 4.0000, 5.4000);199.7626;22.0025;29.2676;;1;4;5.4;0;0;0.0666999999999973
66211.0582;(1.0000, 4.0000, 5.4000);199.7858;22.0009;29.2509;;1;4;5.4;0;0;0.0232000000000028
66211.0898;(1.0000, 4.0000, 5.4000);199.7941;22.0004;29.4069;;1;4;5.4;0;0;0.00829999999999131
66211.1208;(1.0000, 4.0000, 5.4000);199.7974;22.0002;29.6265;;1;4;5.4;0;0;0.00330000000002428
66211.1537;(1.0000, 4.0000, 5.4000);199.7989;22.0001;29.8303;;1;4;5.4;0;0;0.00149999999999295
66211.1838;(1.0000, 4.0000, 5.4000);199.7995;22;29.8979;;1;4;5.4;0;0;0.000599999999991496
66211.2169;(1.0000, 4.0000, 5.4000);199.7998;22;30.1955;;1;4;5.4;0;0;0.000300000000009959
66211.248;(1.0000, 4.0000, 5.4000);199.7999;22;30.2093;;1;4;5.4;0;0;0.00010000000000332
66211.2791;(1.0000, 4.0000, 5.4000);199.8;22;30.4175;;1;4;5.4;0;0;0.00010000000000332
66211.309;(1.0000, 4.0000, 5.4000);199.8;22;30.5826;;1;4;5.4;0;0;0
66211.3413;(1.0000, 4.0000, 5.4000);199.8;22;30.8352;;1;4;5.4;0;0;0
66211.374;(1.0000, 4.0000, 5.4000);199.8;22;30.8068;;1;4;5.4;0;0;0
66211.4043;(1.0000, 4.0000, 5.4000);199.8;22;30.8192;;1;4;5.4;0;0;0
66211.4367;(1.0000, 4.0000, 5.4000);199.8;22;31.0234;;1;4;5.4;0;0;0
66211.4671;(1.0000, 4.0000, 5.4000);199.8;22;30.996;;1;4;5.4;0;0;0
66211.4996;(1.0000, 4.0000, 5.4000);199.8;22;31.1798;;1;4;5.4;0;0;0
66211.5302;(1.0000, 4.0000, 5.4000);199.8;22;31.1218;;1;4;5.4;0;0;0
66211.5623;(1.0000, 4.0000, 5.4000);199.8;22;31.2762;;1;4;5.4;0;0;0
66211.5933;(1.0000, 4.0000, 5.4000);199.8;22;31.2916;;1;4;5.4;0;0;0
66211.6259;(1.0000, 4.0000, 5.4000);199.8;22;31.3593;;1;4;5.4;0;0;0
66211.6569;(1.0000, 4.0000, 5.4000);199.8;22;31.3273;;1;4;5.4;0;0;0
66211.688;(1.0000, 4.0000, 5.4000);199.8;22;31.3931;;1;4;5.4;0;0;0
66211.7192;(1.0000, 4.0000, 5.4000);199.8;22;31.4969;;1;4;5.4;0;0;0
66211.7502;(1.0000, 4.0000, 5.4000);199.8;22;31.5407;;1;4;5.4;0;0;0
66211.7823;(1.0000, 4.0000, 5.4000);199.8;22;31.5881;;1;4;5.4;0;0;0
66211.8163;(1.0000, 4.0000, 5.4000);199.8;22;31.5505;;1;4;5.4;0;0;0
66211.8473;(1.0000, 4.0000, 5.4000);199.8;22;31.3169;;1;4;5.4;0;0;0
66211.8773;(1.0000, 4.0000, 5.4000);199.8;22;31.4291;;1;4;5.4;0;0;0
66211.9083;(1.0000, 4.0000, 5.4000);199.8;22;31.5666;;1;4;5.4;0;0;0
66211.9389;(1.0000, 4.0000, 5.4000);199.8;22;31.665;;1;4;5.4;0;0;0
66211.9713;(1.0000, 4.0000, 5.4000);199.8;22;31.7772;;1;4;5.4;0;0;0
66212.0019;(1.0000, 4.0000, 5.4000);199.8;22;31.677;;1;4;5.4;0;0;0
66212.0325;(1.0000, 4.0000, 5.4000);199.8;22;31.746;;1;4;5.4;0;0;0
66212.0646;(1.0000, 4.0000, 5.4000);199.8;22;31.8369;;1;4;5.4;0;0;0
66212.0947;(1.0000, 4.0000, 5.4000);199.8;22;31.7699;;1;4;5.4;0;0;0
66212.1267;(1.0000, 4.0000, 5.4000);199.8;22;31.9169;;1;4;5.4;0;0;0
66212.1588;(1.0000, 4.0000, 5.4000);199.8;22;31.8808;;1;4;5.4;0;0;0
66212.1891;(1.0000, 4.0000, 5.4000);199.8;22;31.7779;;1;4;5.4;0;0;0
66212.2206;(1.0000, 4.0000, 5.4000);199.8;22;31.9251;;1;4;5.4;0;0;0
66212.2512;(1.0000, 4.0000, 5.4000);199.8;22;31.9161;;1;4;5.4;0;0;0
66212.2818;(1.0000, 4.0000, 5.4000);199.8;22;31.9695;;1;4;5.4;0;0;0
66212.3139;(1.0000, 4.0000, 5.4000);199.8;22;32.0131;;1;4;5.4;0.0661105135360488;0.0661105135360488;0
66212.3436;(0.9776, 4.0000, 5.3378);199.8;22;31.957;;0.9776;4;5.3378;0.15433188264257;0.220442396178619;0
66212.3747;(0.9253, 4.0000, 5.1926);199.8;22;32.0849;;0.9253;4;5.1926;0.229772235050277;0.450214631228896;0
66212.407;(0.8475, 4.0000, 4.9764);199.8;22;32.0957;;0.8475;4;4.9764;0.294618193599784;0.74483282482868;0
66212.4379;(0.7477, 4.0000, 4.6992);199.8;22;31.9956;;0.7477;4;4.6992;0.350100442730369;1.09493326755905;0
66212.4697;(0.6291, 4.0000, 4.3698);199.8;22;32.0342;;0.6291;4;4.3698;0.353927972898441;1.44886124045749;0
66212.5029;(0.5092, 4.0000, 4.0368);199.8;22;31.9928;;0.5092;4;4.0368;0.472419569874069;1.92128081033156;0
66212.535;(0.3492, 4.0000, 3.5923);199.8;22;31.7508;;0.3492;4;3.5923;0.355192525259189;2.27647333559075;0
66212.5686;(0.2289, 4.0000, 3.2581);199.8;22;31.7248;;0.2289;4;3.2581;0.359370073879281;2.63584340947003;0
66212.6016;(0.1071, 4.0000, 2.9200);199.8;22;31.5133;;0.1071;4;2.92;0.474000263713007;3.10984367318304;0
66212.6341;(-0.0534, 4.0000, 2.4740);199.8;22;31.3817;;-0.0534;4;2.474;0.30439213196139;3.41423580514443;0
66212.668;(-0.1565, 4.0000, 2.1876);199.8;22;31.3229;;-0.1565;4;2.1876;0.26093066128763;3.67516646643206;0
66212.702;(-0.2449, 4.0000, 1.9421);199.8;22;31.1015;;-0.2449;4;1.9421;0.291012714498869;3.96617918093092;0
66212.7341;(-0.3435, 4.0000, 1.6683);199.8;22;30.9664;;-0.3435;4;1.6683;0.182261186213631;4.14844036714456;0
66212.7689;(-0.4052, 4.0000, 1.4968);199.8;22;30.9539;;-0.4052;4;1.4968;0.156262599492009;4.30470296663657;0
66212.8015;(-0.4582, 4.0000, 1.3498);199.8;22;30.7099;;-0.4582;4;1.3498;0.174195895474032;4.4788988621106;0
66212.8357;(-0.5172, 4.0000, 1.1859);199.8;22;30.7459;;-0.5172;4;1.1859;0.109127906605048;4.58802676871565;0
66212.866;(-0.5541, 4.0000, 1.0832);199.8;22;30.5987;;-0.5541;4;1.0832;0.0935355012815989;4.68156226999724;0
66212.8989;(-0.5858, 4.0000, 0.9952);199.8;22;30.8026;;-0.5858;4;0.9952;0.080250171339381;4.76181244133662;0
66212.9312;(-0.6130, 4.0000, 0.9197);199.8;22;30.7489;;-0.613;4;0.9197;0.0894859206802947;4.85129836201692;0
66212.9628;(-0.6433, 4.0000, 0.8355);199.8;22;30.7629;;-0.6433;4;0.8355;0.0560204426972868;4.90731880471421;0
66212.9944;(-0.6623, 4.0000, 0.7828);199.8;22;30.8625;;-0.6623;4;0.7828;0.0479212896320623;4.95524009434627;0
66213.0253;(-0.6785, 4.0000, 0.7377);199.8;22;30.918;;-0.6785;4;0.7377;0.0412485151247897;4.99648860947106;0
66213.0574;(-0.6925, 4.0000, 0.6989);199.8;22;31.0681;;-0.6925;4;0.6989;0.0353021245819568;5.03179073405302;0
66213.089;(-0.7045, 4.0000, 0.6657);199.8;22;31.1054;;-0.7045;4;0.6657;0.0302702824565612;5.06206101650958;0
66213.1203;(-0.7147, 4.0000, 0.6372);199.8;22;31.1318;;-0.7147;4;0.6372;0.0259383885389976;5.08799940504857;0
66213.1504;(-0.7235, 4.0000, 0.6128);199.8;22;31.2194;;-0.7235;4;0.6128;0.0289115893717381;5.11691099442031;0
66213.1814;(-0.7333, 4.0000, 0.5856);199.8;22;31.3728;;-0.7333;4;0.5856;0.0181554399561123;5.13506643437642;0
66213.2136;(-0.7394, 4.0000, 0.5685);199.8;22;31.4829;;-0.7394;4;0.5685;0.0155322245670091;5.15059865894343;0
66213.2448;(-0.7447, 4.0000, 0.5539);199.8;22;31.4386;;-0.7447;4;0.5539;0.0132853302555864;5.16388398919902;0
66213.2746;(-0.7492, 4.0000, 0.5414);199.8;22;31.5331;;-0.7492;4;0.5414;0.0114825955254028;5.17536658472442;0
66213.3073;(-0.7531, 4.0000, 0.5306);199.8;22;31.6941;;-0.7531;4;0.5306;0.00977394495585071;5.18514052968027;0
66213.3389;(-0.7564, 4.0000, 0.5214);199.8;22;31.5969;;-0.7564;4;0.5214;0.00838152730712013;5.19352205698739;0
66213.3689;(-0.7592, 4.0000, 0.5135);199.8;22;31.609;;-0.7592;4;0.5135;0.00724499827467192;5.20076705526207;0
66213.3995;(-0.7617, 4.0000, 0.5067);199.8;22;31.7884;;-0.7617;4;0.5067;0.00616846820531648;5.20693552346738;0
66213.4306;(-0.7638, 4.0000, 0.5009);199.8;22;31.8148;;-0.7638;4;0.5009;0.00522015325445526;5.21215567672184;0
66213.4626;(-0.7656, 4.0000, 0.4960);199.8;22;31.8761;;-0.7656;4;0.496;0.0059464274989274;5.21810210422076;0
66213.4919;(-0.7676, 4.0000, 0.4904);199.8;22;31.7973;;-0.7676;4;0.4904;0.00370000000000003;5.22180210422076;0
66213.5245;(-0.7688, 4.0000, 0.4869);199.8;22;32.0044;;-0.7688;4;0.4869;0.00319530906173409;5.2249974132825;0
66213.5546;(-0.7699, 4.0000, 0.4839);199.8;22;31.8987;;-0.7699;4;0.4839;0.00265706605111729;5.22765447933362;0
66213.5867;(-0.7708, 4.0000, 0.4814);199.8;22;32.0158;;-0.7708;4;0.4814;0.00234093998214388;5.22999541931576;0
66213.6178;(-0.7716, 4.0000, 0.4792);199.8;22;31.9418;;-0.7716;4;0.4792;0.00202484567313168;5.23202026498889;0
66213.6481;(-0.7723, 4.0000, 0.4773);199.8;22;31.9415;;-0.7723;4;0.4773;0.00170880074906351;5.23372906573795;0
66213.679;(-0.7729, 4.0000, 0.4757);199.8;22;32.0721;;-0.7729;4;0.4757;0.00148660687473184;5.23521567261269;0
66213.7117;(-0.7734, 4.0000, 0.4743);198.6703;21.5447;32.0514;;-0.7734;4;0.4743;0.00126491106406735;5.23648058367675;-1.12970000000001
66213.7172;(-0.7738, 4.0000, 0.4731);198.6703;21.5447;32.0514;;-0.7738;4;0.4731;0.000316227766016856;5.23679681144277;0
